venta_id,timestamp,timestamp_iso,producto_id,producto,cantidad,precio_unitario,total,descuento,total_neto,monto_descuento
413,2026-04-18 00:06:27+00:00,2026-04-18T00:06:27Z,P003,Leche,3,1.8,5.4,0.06,5.08,0.32
552,2026-04-18 00:26:24+00:00,2026-04-18T00:26:24Z,P002,Pan,2,1.2,2.4,0.03,2.33,0.07
454,2026-04-18 00:36:38+00:00,2026-04-18T00:36:38Z,P002,Pan,4,1.2,4.8,0.13,4.18,0.62
934,2026-04-18 00:38:25+00:00,2026-04-18T00:38:25Z,P002,Pan,1,1.2,1.2,0.01,1.19,0.01
795,2026-04-18 00:42:53+00:00,2026-04-18T00:42:53Z,P006,Queso,2,4.5,9.0,0.11,8.01,0.99
1035,2026-04-18 00:43:13+00:00,2026-04-18T00:43:13Z,P007,Galletas,2,1.6,3.2,0.07,2.98,0.22
822,2026-04-18 00:46:15+00:00,2026-04-18T00:46:15Z,P004,Huevos,2,3.9,7.8,0.01,7.72,0.08
879,2026-04-18 00:47:03+00:00,2026-04-18T00:47:03Z,P007,Galletas,3,1.6,4.8,0.1,4.32,0.48
108,2026-04-18 00:48:55+00:00,2026-04-18T00:48:55Z,P002,Pan,2,1.2,2.4,0.01,2.38,0.02
933,2026-04-18 00:55:35+00:00,2026-04-18T00:55:35Z,P003,Leche,1,1.8,1.8,0.09,1.64,0.16
967,2026-04-18 00:56:08+00:00,2026-04-18T00:56:08Z,P008,Jugo,1,2.9,2.9,0.01,2.87,0.03
1071,2026-04-18 00:59:31+00:00,2026-04-18T00:59:31Z,P008,Jugo,1,2.9,2.9,0.02,2.84,0.06
1080,2026-04-18 01:03:34+00:00,2026-04-18T01:03:34Z,P001,Café,1,2.5,2.5,0.08,2.3,0.2
576,2026-04-18 01:06:18+00:00,2026-04-18T01:06:18Z,P007,Galletas,4,1.6,6.4,0.17,5.31,1.09
