venta_id,timestamp,timestamp_iso,producto_id,producto,cantidad,precio_unitario,total
3054,2026-04-18 00:00:36+00:00,2026-04-18T00:00:36Z,P001,Café,3,2.5,7.5
3112,2026-04-18 00:00:47+00:00,2026-04-18T00:00:47Z,P006,Queso,3,4.5,13.5
1231,2026-04-18 00:01:29+00:00,2026-04-18T00:01:29Z,P002,Pan,2,1.2,2.4
4001,2026-04-18 00:01:38+00:00,2026-04-18T00:01:38Z,P005,Arroz,3,2.1,6.3
4152,2026-04-18 00:02:34+00:00,2026-04-18T00:02:34Z,P006,Queso,3,4.5,13.5
4072,2026-04-18 00:04:44+00:00,2026-04-18T00:04:44Z,P007,Galletas,1,1.6,1.6
413,2026-04-18 00:06:27+00:00,2026-04-18T00:06:27Z,P003,Leche,3,1.8,5.4
4833,2026-04-18 00:08:49+00:00,2026-04-18T00:08:49Z,P008,Jugo,2,2.9,5.8
4663,2026-04-18 00:09:31+00:00,2026-04-18T00:09:31Z,P007,Galletas,1,1.6,1.6
3412,2026-04-18 00:11:02+00:00,2026-04-18T00:11:02Z,P003,Leche,1,1.8,1.8
4743,2026-04-18 00:13:48+00:00,2026-04-18T00:13:48Z,P004,Huevos,1,3.9,3.9
2627,2026-04-18 00:14:13+00:00,2026-04-18T00:14:13Z,P002,Pan,4,1.2,4.8
4921,2026-04-18 00:14:36+00:00,2026-04-18T00:14:36Z,P001,Café,2,2.5,5.0
1385,2026-04-18 00:15:12+00:00,2026-04-18T00:15:12Z,P002,Pan,5,1.2,6.0
4570,2026-04-18 00:15:13+00:00,2026-04-18T00:15:13Z,P005,Arroz,1,2.1,2.1
3026,2026-04-18 00:15:42+00:00,2026-04-18T00:15:42Z,P006,Queso,5,4.5,22.5
4393,2026-04-18 00:19:17+00:00,2026-04-18T00:19:17Z,P007,Galletas,3,1.6,4.8
2705,2026-04-18 00:20:08+00:00,2026-04-18T00:20:08Z,P007,Galletas,2,1.6,3.2
1717,2026-04-18 00:21:15+00:00,2026-04-18T00:21:15Z,P004,Huevos,1,3.9,3.9
552,2026-04-18 00:26:24+00:00,2026-04-18T00:26:24Z,P002,Pan,2,1.2,2.4
2462,2026-04-18 00:26:47+00:00,2026-04-18T00:26:47Z,P001,Café,5,2.5,12.5
4532,2026-04-18 00:28:47+00:00,2026-04-18T00:28:47Z,P005,Arroz,3,2.1,6.3
2249,2026-04-18 00:28:53+00:00,2026-04-18T00:28:53Z,P003,Leche,2,1.8,3.6
1774,2026-04-18 00:30:00+00:00,2026-04-18T00:30:00Z,P001,Café,2,2.5,5.0
4788,2026-04-18 00:31:46+00:00,2026-04-18T00:31:46Z,P004,Huevos,4,3.9,15.6
2998,2026-04-18 00:33:00+00:00,2026-04-18T00:33:00Z,P001,Café,1,2.5,2.5
3279,2026-04-18 00:33:42+00:00,2026-04-18T00:33:42Z,P005,Arroz,2,2.1,4.2
3503,2026-04-18 00:33:56+00:00,2026-04-18T00:33:56Z,P005,Arroz,2,2.1,4.2
3735,2026-04-18 00:34:09+00:00,2026-04-18T00:34:09Z,P002,Pan,2,1.2,2.4
4115,2026-04-18 00:36:01+00:00,2026-04-18T00:36:01Z,P001,Café,1,2.5,2.5
454,2026-04-18 00:36:38+00:00,2026-04-18T00:36:38Z,P002,Pan,4,1.2,4.8
2533,2026-04-18 00:37:23+00:00,2026-04-18T00:37:23Z,P008,Jugo,1,2.9,2.9
4910,2026-04-18 00:37:54+00:00,2026-04-18T00:37:54Z,P003,Leche,1,1.8,1.8
934,2026-04-18 00:38:25+00:00,2026-04-18T00:38:25Z,P002,Pan,1,1.2,1.2
3759,2026-04-18 00:41:11+00:00,2026-04-18T00:41:11Z,P004,Huevos,1,3.9,3.9
2706,2026-04-18 00:41:42+00:00,2026-04-18T00:41:42Z,P007,Galletas,1,1.6,1.6
4809,2026-04-18 00:42:27+00:00,2026-04-18T00:42:27Z,P004,Huevos,1,3.9,3.9
2113,2026-04-18 00:42:47+00:00,2026-04-18T00:42:47Z,P006,Queso,1,4.5,4.5
795,2026-04-18 00:42:53+00:00,2026-04-18T00:42:53Z,P006,Queso,2,4.5,9.0
1035,2026-04-18 00:43:13+00:00,2026-04-18T00:43:13Z,P007,Galletas,2,1.6,3.2
3033,2026-04-18 00:44:25+00:00,2026-04-18T00:44:25Z,P001,Café,2,2.5,5.0
